"Candidate ID","Assigned Time","Comment","Rating for Cultural","Rating for Text","Is Duplicate","Duplicate of Portal","Rating for Location","Suggested Location","Rating for Quality","Rating for Safety","One Star Submission","Time","Rating for Uniqueness","What is it?"
"ac9a7f1765e41d05a72d92a4faa2ac46","2017-10-05 10:24:29 GMT","","5","5","false","","5","","5","5","false","2017-10-05 10:24:59 GMT","5",""
"3ab5ccd970729436c41a58fd2498e50b","2017-10-05 10:25:09 GMT","","","","true","dacbaeee8d0e4859bd7938efe9e01147.16","","","","","false","2017-10-05 10:25:33 GMT","",""
"902c6f58f0b12ba5a1ffc3b3a453550d","2017-10-05 10:25:40 GMT","","1","1","false","","3","","2","2","false","2017-10-05 10:26:36 GMT","1",""
"0a0e9f4170b8123226b9f8b1c6589268","2017-10-05 10:26:43 GMT","","4","5","false","","3","","5","5","false","2017-10-05 10:27:41 GMT","5",""
"7e2d121a59eceb271e1a2d430f75722a","2017-10-05 10:27:48 GMT","","","","false","","","","","","true","2017-10-05 10:28:01 GMT","",""
"89574e2e83177ae97c562dfd825e4eed","2017-10-05 10:28:06 GMT","","2","5","false","","5","","5","5","false","2017-10-05 10:28:39 GMT","4",""
"7b528224e82e5ba5f03227af1c07be4b","2017-10-05 10:28:47 GMT","","4","5","false","","2","","5","3","false","2017-10-05 10:29:30 GMT","4",""
"efbc6cdec323cde8e5752a942e1c4331","2017-10-05 10:29:39 GMT","","5","5","false","","1","","5","2","false","2017-10-05 10:30:25 GMT","5",""
"83e7d2490d156edb85122ea8058d6a43","2017-10-05 10:30:34 GMT","","2","5","false","","5","","5","5","false","2017-10-05 10:30:54 GMT","3",""
"d3c75a997786272b3fb65ca17f4800fd","2017-10-05 10:30:59 GMT","","3","3","false","","3","","3","3","false","2017-10-05 10:31:40 GMT","3",""
"3ffab4e9af4d0916574fb967fd72a084","2017-10-05 10:31:46 GMT","","2","5","false","","5","","5","4","false","2017-10-05 10:32:36 GMT","3",""
"f105fe59e89924a7031ab7da4e0cd9b1","2017-10-05 10:44:42 GMT","","2","5","false","","3","","5","3","false","2017-10-05 10:46:09 GMT","2",""
"162e319e0cd41273f1dd096aa6969be4","2017-10-05 10:46:46 GMT","","2","5","false","","5","","5","4","false","2017-10-05 10:48:49 GMT","3",""
"8660a657b958bbc581fdf51535cd4ef3","2017-10-05 11:53:30 GMT","","5","3","false","","5","","5","5","false","2017-10-05 11:53:57 GMT","5",""
